Days_out,brier,log_loss
30,0.16217678231565238,0.48452013641934527
29,0.15874500033403535,0.4761784775715823
28,0.1543766483567088,0.465209143556573
27,0.15476289766119244,0.46725929161869256
26,0.15213778351967827,0.46143130464431437
25,0.15009238401719535,0.45572258342975147
24,0.14725900225363403,0.4484027075138056
23,0.14508806470915547,0.44293852748735435
22,0.14487009004991191,0.4419774472813959
21,0.14287149943206054,0.438248129546199
20,0.13970425736599223,0.4307051358505208
19,0.13764399559965823,0.4247585098931586
18,0.1357471714521379,0.4193148860271616
17,0.13409523263270748,0.415438369055946
16,0.13164781210569787,0.4087589807556733
15,0.130110617166636,0.40407861946990115
14,0.12573936171820432,0.3936751989597673
13,0.1231483367655523,0.3869364716317634
12,0.12186373310723123,0.38356596815194194
11,0.11900076244959375,0.375135382942009
10,0.11614111048676713,0.3674214529594022
9,0.113574357405147,0.36055721960155923
8,0.11157210815840055,0.35439462243002606
7,0.1089516673884008,0.34743227669202986
6,0.10642299936828992,0.33989598172412777
5,0.10169240080986347,0.3271927130693307
4,0.0972262793326247,0.315041845692709
3,0.09436740167595599,0.3061372767691936
2,0.09044060237927612,0.2943766739130222
1,0.08384746794394302,0.2724294006279987
